BSunitId	name	NIunitName
1119	Hå	Rogaland
1120	Klepp	Rogaland
1121	Time	Rogaland
1122	Gjesdal	Rogaland
1124	Sola	Rogaland
1127	Randaberg	Rogaland
1129	Forsand	Rogaland
1130	Strand	Rogaland
1133	Hjelmeland	Rogaland
1134	Suldal	Rogaland
1135	Sauda	Rogaland
1141	Finnøy	Rogaland
1142	Rennesøy	Rogaland
1145	Bokn	Rogaland
1146	Tysvær	Rogaland
1149	Karmøy	Rogaland
1151	Utsira	Rogaland
1160	Vindafjord	Rogaland
